Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),Initial_Cost_Estimate,Amazon Virtual Private Cloud (VPC),0,37.35,448.20,USD,Numero di gateway NAT (1)
My Estimate,US East (N. Virginia),web server,Amazon EC2,0,100.68,1208.16,USD,"Sistema operativo (Linux), Quantit� (2), Pricing strategy (EC2 Instance Savings Plans 3 Year No UpFront), Storage per ogni istanza EC2 (General Purpose SSD (gp2)), Quantit� di storage (100 GB), Tipo di istanza (t4g.xlarge)"
My Estimate,US East (N. Virginia),Application Server,Amazon EC2,0,7218662,86623.94,USD,"Sistema operativo (Linux), Storage per ogni istanza EC2 (SSD Provisioned IOPS (io2)), Quantit� di storage (15 TB), Frequenza snapshot (4 volte al giorno), Importo modificato per ogni snapshot (3 GB), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month), Workload (Consistent, Number of instances: 2), Istanza EC2 preventiva (m6gd.metal), Pricing strategy (undefined 3 Year  None upfront)"
My Estimate,US East (N. Virginia),DB,Amazon RDS for MariaDB,1626,8215488,100211.86,USD,"Quantit� (2), Pricing strategy (Istanze riservate standard 1 anno Pagamento anticipato parziale), Volume di storage (Provisioned IOPS SSD (io1)), Provisioning IOPS (1000), Quantit� di storage (15 TB al mese), Tipo di istanza (db.m6g.large)"
My Estimate,US East (N. Virginia),load balancer,Application Load Balancer,0,1200.85,14410.20,USD,Numero di Application Load Balancer (2)
My Estimate,US East (N. Virginia),load balancer,Network Load Balancer,0,908.85,10906.20,USD,"Numero di Network Load Balancer (2), Byte elaborati per NLB per TLS (100 GB per ora)"
My Estimate,US East (N. Virginia),load balancer,Gateway Load Balancer,0,563.9300000000001,6767.16,USD,"Numero di zone di disponibilit� in cui Gateway Load Balancer viene distribuito (1), Numero di Gateway Load Balancer Endpoint (1), Totale byte elaborati (100 GB per ora)"
My Estimate,US East (N. Virginia),,S3 Standard,0,235.52,2826.24,USD,Storage S3 Standard (10 TB per mese)
My Estimate,US East (N. Virginia),,Data Transfer,0,0,0.00,USD,"DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month)"
Global,All,Business support plan,AWS Support,162.6,1593.69 First month including upfront and monthly fee 1707.51,19238.10,USD,"Supports 24/7 phone, chat, and email access to Cloud Support Engineers for unlimited contacts, with and a response time of less than 1 hour."
,,,,,,,,
,,,,,,,,
,,,,,,,,
Acknowledgement,,,,,,,,
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
I add Business support plan another DB in RDS,,,,,,,,
In RDS I change  Storage in RDS to Provisioned IOP SSD,,,,,,,,
In EC2  I change in t4g.xlarge,,,,,,,,
