Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),Initial_Cost_Estimate,Amazon Virtual Private Cloud (VPC),0,37.35,448.20,USD,Numero di gateway NAT (1)
My Estimate,US East (N. Virginia),web server,Amazon EC2,0,100.68,1208.16,USD,"Sistema operativo (Linux), Quantità (2), Pricing strategy (EC2 Instance Savings Plans 3 Year No UpFront), Storage per ogni istanza EC2 (General Purpose SSD (gp2)), Quantità di storage (100 GB), Tipo di istanza (t4g.xlarge)"
My Estimate,US East (N. Virginia),Application Server,Amazon EC2,0,1569.92,18839.04,USD,"Sistema operativo (Linux), Storage per ogni istanza EC2 (General Purpose SSD (gp2)), Quantità di storage (7 TB), Frequenza snapshot (Giornaliero), Importo modificato per ogni snapshot (3 GB), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month), Workload (Consistent, Number of instances: 1), Istanza EC2 preventiva (r5.8xlarge), Pricing strategy (EC2 Instance Savings Plans 3yr No Upfront)"
My Estimate,US East (N. Virginia),DB,Amazon RDS for MariaDB,3250,3097.0699999999997,40414.84,USD,"Quantità (2), Pricing strategy (Istanze riservate standard 1 anno Pagamento anticipato parziale), Volume di storage (General Purpose SSD (gp2)), Quantità di storage (6 TB al mese), Tipo di istanza (db.m6g.xlarge)"
My Estimate,US East (N. Virginia),load balancer,Application Load Balancer,0,1200.85,14410.20,USD,Numero di Application Load Balancer (2)
My Estimate,US East (N. Virginia),,S3 Standard,0,235.52,2826.24,USD,Storage S3 Standard (10 TB per mese)
My Estimate,US East (N. Virginia),,Data Transfer,0,0,0.00,USD,"DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
