User name,AWS access key,Event time,Event source,Event name,AWS region,Source IP address,User agent,Error code,Resources,Request ID,Event ID,Read-only,Event type,Recipient Account Id,Event category,,
Daniel,,2021-01-06T09:56:40Z,signin.amazonaws.com,ConsoleLogin,us-east-1,93.44.192.68,"Mozilla/5.0 (Macintosh; Intel Mac OS X 11_1_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36",,[],,0d05d4ac-f5ce-4c74-b43d-c0a246d8ec07,false,AwsConsoleSignIn,182640989777,Management,,
Dmondello,AKIASVBSAKZIZPALM7BL,2021-01-06T08:05:12Z,iam.amazonaws.com,AttachRolePolicy,us-east-1,93.44.192.68,aws-sdk-go/1.36.7 (go1.15.5, darwin, amd64) APN/1.0 HashiCorp/1.0 Terraform/0.14.3 (+https://www.terraform.io),,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::182640989777:policy/lambda_logging""},{""resourceType"":""AWS::IAM::Role"",""resourceName"":""iam_for_lambda""}]",b4b018de-fcf6-4e87-81ea-337b00fec227,e5bd8e62-2854-4c61-bf69-00a797ea2346,false,AwsApiCall,182640989777,Management
Dmondello,AKIASVBSAKZIZPALM7BL,2021-01-06T08:05:10Z,iam.amazonaws.com,CreateRole,us-east-1,93.44.192.68,aws-sdk-go/1.36.7 (go1.15.5, darwin, amd64) APN/1.0 HashiCorp/1.0 Terraform/0.14.3 (+https://www.terraform.io),,"[{""resourceType"":""AWS::IAM::Role"",""resourceName"":""iam_for_lambda""},{""resourceType"":""AWS::IAM::Role"",""resourceName"":""arn:aws:iam::182640989777:role/iam_for_lambda""},{""resourceType"":""AWS::IAM::Role"",""resourceName"":""AROASVBSAKZI4FN3Y7ELD""}]",f15e76fa-72a3-4d0a-a63b-af6d7a3e5750,7e5167e2-83d4-4c0b-b6d4-2d956f5a2640,false,AwsApiCall,182640989777,Management
Dmondello,AKIASVBSAKZIZPALM7BL,2021-01-06T08:05:10Z,iam.amazonaws.com,CreatePolicy,us-east-1,93.44.192.68,aws-sdk-go/1.36.7 (go1.15.5, darwin, amd64) APN/1.0 HashiCorp/1.0 Terraform/0.14.3 (+https://www.terraform.io),,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""lambda_logging""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""ANPASVBSAKZIZTAERJ4IO""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::182640989777:policy/lambda_logging""}]",3c76cff0-25d5-43e1-a52b-f3b8c0a92baf,814aaa31-cc2a-4837-a029-9fd524dd6f4b,false,AwsApiCall,182640989777,Management
Daniel,ASIASVBSAKZI3F9YLSKS,2021-01-06T01:10:29Z,iam.amazonaws.com,DeletePolicy,us-east-1,93.44.192.68,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::182640989777:policy/lambda_logging""}]",047b68b7-f270-4fc0-b4be-4785b2b16f5f,82468d78-16ca-4085-b974-ca459b6e7f93,false,AwsApiCall,182640989777,Management,,
Daniel,ASIASVBSAKZI3F9YLSKS,2021-01-06T01:10:28Z,iam.amazonaws.com,DetachRolePolicy,us-east-1,93.44.192.68,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::182640989777:policy/lambda_logging""},{""resourceType"":""AWS::IAM::Role"",""resourceName"":""lambda_exec""}]",897d0fbe-0c7a-4a26-a57e-b77f552285d4,6c81d230-5ebb-4b65-b8f7-3e5d6fa75350,false,AwsApiCall,182640989777,Management,,
Daniel,ASIASVBSAKZI3F9YLSKS,2021-01-06T01:04:40Z,iam.amazonaws.com,DeleteRole,us-east-1,93.44.192.68,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::Role"",""resourceName"":""iam_for_lambda""}]",ee15221c-efbf-4787-a766-57b5beabb237,767cd102-045e-4438-bae9-3236bb9a7389,false,AwsApiCall,182640989777,Management,,
Daniel,ASIASVBSAKZI3F9YLSKS,2021-01-06T01:04:39Z,iam.amazonaws.com,DetachRolePolicy,us-east-1,93.44.192.68,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::182640989777:policy/lambda_logging""},{""resourceType"":""AWS::IAM::Role"",""resourceName"":""iam_for_lambda""}]",81c1e092-6705-406f-a680-56e2518ba9fb,cf5a98ed-eea5-4dfe-8c57-35f2d4663929,false,AwsApiCall,182640989777,Management,,
Daniel,ASIASVBSAKZI3F9YLSKS,2021-01-06T01:04:39Z,iam.amazonaws.com,DetachRolePolicy,us-east-1,93.44.192.68,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/service-role/AWSLambdaBasicExecutionRole""},{""resourceType"":""AWS::IAM::Role"",""resourceName"":""iam_for_lambda""}]",6733d05d-0a4c-45fa-a891-ae551bd712fd,edc2367c-6165-42b0-94e0-e5be1d0e487b,false,AwsApiCall,182640989777,Management,,
Dmondello,AKIASVBSAKZIZPALM7BL,2021-01-05T23:22:16Z,iam.amazonaws.com,AttachRolePolicy,us-east-1,93.44.192.68,aws-sdk-go/1.36.7 (go1.15.5, darwin, amd64) APN/1.0 HashiCorp/1.0 Terraform/0.14.3 (+https://www.terraform.io),,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::182640989777:policy/lambda_logging""},{""resourceType"":""AWS::IAM::Role"",""resourceName"":""iam_for_lambda""}]",fd51c558-7e35-44ad-965e-6983fb297e3a,203afd03-4ec1-410a-bf4f-cafc249064f3,false,AwsApiCall,182640989777,Management
